PDHB,MTF1,LIPT1,LIAS,FDX1,DLD,DLAT,CDKN2A,cluster
8.356620698,7.866093117,5.954214125,5.828628588,7.955695547,9.124864632,7.950874312,5.693643064,1
8.380019409,6.971481622,6.41862607,6.954005034,8.24217812,9.995855949,7.10559471,5.968210866,1
8.342115234,7.324915756,6.274468323,6.434195714,7.929772819,9.498811098,7.476852853,6.349394516,1
8.495189886,7.957661102,6.147113001,6.566482326,7.770473752,9.971131918,7.363838771,5.733941836,1
8.229688309,8.072954971,6.037450748,6.884124699,7.901501357,9.245458862,7.448368213,5.581626234,1
8.330362258,7.433381425,6.033164367,6.531493512,7.47940793,9.392967186,7.524749659,6.025981084,1
8.261744083,8.055027021,7.394217098,6.6503335,7.805327972,9.313529329,7.820384093,6.108864743,1
8.373319472,8.795068859,6.776270949,6.744054728,7.514505032,9.568941186,8.484814486,5.86555837,1
8.564880459,8.073972007,6.008759728,7.3886069,8.218338926,9.06007926,7.74592015,5.71066067,1
8.345852031,8.173305849,5.740334544,6.619275573,7.683298815,9.433310008,7.760076321,5.703743127,1
